"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",652.931668515536,-0.132849679690722,0.316073974800411,-0.420311984796001,0.674257555830853,0.877293905848779
"ENSG00000000005.6",66.6360217718718,0.468248330237196,0.595491407074236,0.786322564313381,0.431678536387285,0.744685355721215
"ENSG00000000419.13",2126.98417134092,0.218120116937506,0.188291656951115,1.1584162594848,0.246694207007813,0.588211885873011
"ENSG00000000457.14",1221.64610512455,-0.0285918319715715,0.157731022903937,-0.181269552718141,0.856156003514778,0.952339640696604
"ENSG00000000460.17",1699.31424798759,0.0173287528399509,0.253788372731809,0.0682803260583693,0.945562485104476,0.982140994337835
"ENSG00000000938.13",436.698482863876,-1.31883962747784,0.454304377899462,-2.90298683357548,0.00369622176262394,0.0701751576750803
"ENSG00000000971.16",10293.2810795897,-0.531670388210006,0.285466078681664,-1.8624643273392,0.0625376691785345,0.310316137516163
"ENSG00000001036.14",685.422425582224,0.000943492238811181,0.184442118423283,0.00511538387694033,0.995918531982083,0.998897434782383
"ENSG00000001084.13",2179.05571791224,-0.293929067836147,0.241318578245176,-1.21801259552225,0.223219186336485,0.564593321935394
"ENSG00000001167.14",1529.34013297451,-0.419666763304071,0.142840229843916,-2.93801517795546,0.00330320851729424,0.0661419582672341
"ENSG00000001460.18",238.8309112915,0.154758546211578,0.260304608457544,0.594528645223042,0.552158589054669,0.816454590696803
"ENSG00000001461.17",856.209852461634,-0.602079592790859,0.211800916096789,-2.84266755728158,0.00447377081303102,0.0780951714061297
"ENSG00000001497.18",1598.87992378348,-0.214428774339086,0.152079688720837,-1.40997641527726,0.158546647048947,0.481945552829296
"ENSG00000001561.7",663.805417130201,-0.471755142904167,0.4021227437238,-1.17316205130689,0.240730826826481,0.58162365791403
"ENSG00000001617.12",2016.72998174643,0.337913530177205,0.289024430168009,1.1691521370037,0.242342341128235,0.583486921857903
"ENSG00000001626.16",148.997843644872,-2.07936781545619,0.937646550722731,-2.21764567240549,0.0265790011915841,0.204390458775592
"ENSG00000001629.10",6122.80696242191,0.238917449812102,0.0861025616226636,2.77480071799879,0.00552355422464613,0.0877869018560581
"ENSG00000001630.17",23.3782800985139,-0.367060373136324,0.443546695640188,-0.827557451660261,0.407921172953754,0.730340945851747
"ENSG00000001631.16",498.357672775225,0.161539868271337,0.204034672682524,0.791727534087758,0.428519563994031,0.742664512958614
"ENSG00000002016.18",1028.68452206319,-0.376120201823355,0.229110070700111,-1.64165722036579,0.100661062040061,0.389361868371287
"ENSG00000002079.14",43.2048287219136,0.288936396249707,0.477308815206823,0.605344772701312,0.544949938251599,0.813019684790955
"ENSG00000002330.14",56.9744390510141,0.0272453142116045,0.292067730823338,0.0932842328551669,0.925677757818499,0.976394199401185
"ENSG00000002549.12",4478.81290557332,-0.121320411526949,0.254059580643692,-0.477527402113979,0.632986612953125,0.85708612188978
"ENSG00000002586.20",9836.13988244268,0.13593540439641,0.213710923967439,0.636071389673657,0.524729892313581,0.800766377926447
"ENSG00000002587.10",117.847289819906,-1.64031494109763,0.451202564039025,-3.63542912170986,0.000277518290339414,0.0134839907273485
"ENSG00000002726.21",65.7801440823019,0.537762040375631,0.514434647692983,1.04534568732347,0.295863229092254,0.636248916830312
"ENSG00000002745.13",18.7709305282269,-1.14132166443619,0.548697527945918,-2.08005614442769,0.037520383482797,0.240279167965648
"ENSG00000002746.15",193.99580731824,-0.79552638355423,0.480086361189998,-1.65704849765435,0.0975096704175298,0.384353557706352
"ENSG00000002822.15",8.78134605915251,-0.106886135673999,0.387619796881934,-0.275749939847772,0.782740135609747,0.925415078862656
"ENSG00000002834.18",5221.87360292212,0.1969384495368,0.271177247128589,0.726235152919797,0.467694625327123,0.767393083376165
"ENSG00000002919.15",684.736172872018,-0.0684623548484231,0.203954999338917,-0.335673825453318,0.737116845944583,0.906939424715692
"ENSG00000002933.9",939.216490968854,-0.216710389707856,0.367980973302886,-0.588917377338097,0.555916700034536,0.818304982961682
"ENSG00000003056.8",1989.65364911165,0.00207393603022256,0.160433599226272,0.0129270678974018,0.989685979370103,0.996297834961667
"ENSG00000003096.14",233.580394861753,1.32757588254971,0.434078294704664,3.05837886562138,0.00222538029134443,0.0523132405657808
"ENSG00000003137.8",96.8710310232068,0.343042547494223,0.443583962219053,0.773342989629592,0.439319420059063,0.749790314729594
"ENSG00000003147.19",2111.6319644947,-0.186741101868563,0.306467084095101,-0.60933493859528,0.542302453110617,0.811306824409801
"ENSG00000003249.15",85.913761472521,-0.291050798675819,0.349692538066434,-0.832304859249031,0.405236888507505,0.727974391334544
"ENSG00000003393.15",3407.6190130254,-0.0159816703437356,0.129998387159885,-0.122937450939909,0.902156628990286,0.969598457159657
"ENSG00000003400.15",1040.66992564577,-0.553695914760661,0.322050754208136,-1.71928153412371,0.0855631206849225,0.362408331594814
"ENSG00000003402.20",3803.16923057725,-0.145321788954875,0.195349136188508,-0.743908019202308,0.456932123581288,0.76140319848845
"ENSG00000003436.16",948.716954512463,0.77417412367916,0.422176069877634,1.8337707390747,0.0666880329709674,0.319715805270397
"ENSG00000003509.16",1382.3714499,-0.0856241377167533,0.165668887438247,-0.516838973453418,0.60526857130853,0.845422947827132
"ENSG00000003756.17",6959.46471189897,-0.326471197364947,0.168365460717444,-1.9390627743587,0.0524936948246055,0.2833079246105
"ENSG00000003987.14",287.802219462907,0.405256529705115,0.260454959129974,1.55595628149619,0.119718488627307,0.422510788206186
"ENSG00000003989.18",3467.46815840008,0.564101869634268,0.449952743349557,1.25369136641985,0.209954207218236,0.548511990063839
"ENSG00000004059.11",1221.77668013531,-0.16935466609479,0.185724884921949,-0.911857698369077,0.361843632287321,0.693250378988029
"ENSG00000004139.14",196.407867979395,-0.424203403765417,0.346091072930356,-1.22569877394896,0.220312051773082,0.5612229112576
"ENSG00000004142.12",2514.76023497781,0.118681426283047,0.254043668936785,0.467169391702413,0.640378690637583,0.860925849381646
"ENSG00000004399.13",6941.94426702182,-0.0917025773072229,0.199698744233366,-0.459204576670046,0.646087264325841,0.864619133191542
"ENSG00000004455.17",10309.7242936713,-0.0783401484143588,0.18746853087717,-0.417884260615918,0.676031740708857,0.878641974167293
"ENSG00000004468.13",334.086612056213,-0.7492877994405,0.554193463524867,-1.35203290683864,0.176364788583152,0.50766447667606
