"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","GO:0003012","muscle system process","46/632","459/18888",0.100217864923747,2.99511872259452,8.05121487850589,3.37375971419267e-11,1.5111069759869e-07,1.26746825473196e-07,"8735/3479/3784/779/23676/4625/1113/59/5608/4621/5024/4633/5144/7134/3553/6535/4626/4607/2626/7111/2627/481/58/80005/4851/1813/5578/3760/60675/134/221476/126306/4632/5028/442721/8557/3952/1674/10008/29895/23336/246329/55959/4635/6262/4622",46
"GO:0006936","GO:0006936","muscle contraction","38/632","355/18888",0.107042253521127,3.1990729185238,7.78248262368071,2.76666103643454e-10,6.19593739109514e-07,5.19695433633414e-07,"8735/3784/779/23676/4625/1113/59/5608/4621/5024/4633/5144/7134/6535/4626/4607/2626/7111/481/58/80005/1813/3760/60675/134/126306/4632/442721/8557/1674/10008/29895/23336/246329/55959/4635/6262/4622",38
"GO:0033275","GO:0033275","actin-myosin filament sliding","8/632","16/18888",0.5,14.9430379746835,10.3811544705416,1.52642738055668e-08,2.27895607917113e-05,1.91151555130063e-05,"4625/4621/7134/4626/4607/4632/29895/4622",8
"GO:0007586","GO:0007586","digestion","20/632","136/18888",0.147058823529412,4.39501116902457,7.39305743515076,2.70244337475165e-08,3.02606096887816e-05,2.53816326433911e-05,"170302/3784/6476/5225/340547/57817/64081/10891/1610/3274/7429/10753/9245/362/2168/1056/56667/3952/339221/5222",20
"GO:0051146","GO:0051146","striated muscle cell differentiation","31/632","313/18888",0.0990415335463259,2.95996279370728,6.50568154271288,7.54767095725789e-08,6.6554866761579e-05,5.58240959500066e-05,"3479/7504/88/779/4606/6910/4625/4621/55553/4633/9096/650/4607/2626/7111/84665/2627/58/80005/4851/8038/4868/221476/6469/26585/124872/1000/442721/8557/246329/4892",31
"GO:0060537","GO:0060537","muscle tissue development","38/632","438/18888",0.0867579908675799,2.59285590428299,6.27556128982114,8.91558831367435e-08,6.6554866761579e-05,5.58240959500066e-05,"3479/7504/88/54715/7161/779/6910/4625/10891/55553/4633/9096/7134/6943/650/4607/2626/64220/2627/58/84466/4851/4868/129446/3549/221476/6469/26585/124872/23414/8557/6664/9242/29895/246329/5727/4892/6262",38
"GO:0006941","GO:0006941","striated muscle contraction","23/632","191/18888",0.120418848167539,3.59884684207038,6.71658664107071,1.13736404856305e-07,7.11413600979822e-05,5.96711000316561e-05,"3784/779/23676/4625/1113/5608/4621/4633/5144/7134/4626/4607/2626/481/3760/134/126306/8557/10008/23336/246329/4635/6262",23
"GO:0030049","GO:0030049","muscle filament sliding","7/632","14/18888",0.5,14.9430379746835,9.71016631294058,1.27066506091506e-07,7.11413600979822e-05,5.96711000316561e-05,"4625/4621/7134/4626/4607/4632/4622",7
"GO:0070252","GO:0070252","actin-mediated cell contraction","17/632","113/18888",0.150442477876106,4.49613531981629,6.93545085365843,2.12462021536295e-07,0.00010573526605123,8.86873631418758e-05,"3784/4625/59/4621/5144/7134/7429/4626/4607/2626/3760/134/4632/10008/29895/6262/4622",17
"GO:1903522","GO:1903522","regulation of blood circulation","26/632","262/18888",0.099236641221374,2.96579379650208,5.96164377749405,8.16385216212446e-07,0.000338962997998689,0.000284311333558318,"846/3784/6910/4625/1113/4633/9096/5144/3274/2626/481/185/80005/1813/3760/134/79987/2266/2243/2244/3952/1674/10008/4635/6262/177",26
