"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","30/334","232/8848",0.129310344827586,3.42556266776791,7.41494734094652,2.7399520000351e-09,8.08285840010354e-07,7.15271680009162e-07,"8735/88/4606/4625/1158/4621/4633/7060/7134/480/4626/4607/7111/84665/481/58/22989/129446/2199/4632/442721/255631/8557/1674/29895/4892/4635/1302/131873/4622",30
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","14/334","90/8848",0.155555555555556,4.1208250166334,5.89376244404935,6.0954300129274e-06,0.000899075926906792,0.000795614022739998,"6550/8671/760/9429/10257/480/481/200931/54578/7364/6580/54600/54658/54575",14
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","14/334","105/8848",0.133333333333333,3.53213572854291,5.16958660843295,3.70687406633994e-05,0.00364509283190094,0.00322563076649932,"3784/1308/6550/4224/480/481/1360/255631/10008/153201/1305/1302/131873/5222",14
"hsa00052","Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","7/334","32/8848",0.21875,5.79491017964072,5.38175717775026,0.000152668486536901,0.00931387512370366,0.00824207325844249,"6476/2582/2538/80201/3101/57016/8972",7
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","19/334","197/8848",0.0964467005076142,2.55497127572267,4.37146244868122,0.000157862290232266,0.00931387512370366,0.00824207325844249,"8735/4625/10382/59/4621/4633/7134/7277/547/4626/58/22989/4651/1780/4640/4632/29895/4635/4622",19
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","7/334","36/8848",0.194444444444444,5.15103127079175,4.9428159030538,0.000332506645130167,0.0163482433855665,0.0144669557881195,"54578/7364/57016/729920/54600/54658/54575",7
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","10/334","76/8848",0.131578947368421,3.48566025843051,4.31026207798931,0.000533869009530757,0.0224987654016533,0.0199097014080643,"30/23205/1962/335/2168/5346/729359/2167/51703/100509620",10
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","12/334","106/8848",0.113207547169811,2.99898316574398,4.10072921627912,0.000622273401910131,0.0229463316954361,0.0203057636412779,"1179/3784/8671/1811/760/480/84647/481/1360/5578/1056/6262",12
"hsa00053","Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","6/334","30/8848",0.2,5.29820359281437,4.67053883011047,0.00076171927134264,0.0249674650051199,0.0220943133675994,"9104/54578/7364/54600/54658/54575",6
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/334","71/8848",0.126760563380282,3.35801636164291,3.95100303714398,0.0013200033629081,0.0373514863235913,0.0330532332140968,"1577/1562/1559/54578/7364/54600/54658/54575/2938",9
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","5/334","23/8848",0.217391304347826,5.75891694871127,4.52604753437984,0.00142730363247349,0.0373514863235913,0.0330532332140968,"6550/8671/760/480/481",5
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","6/334","34/8848",0.176470588235294,4.6748855230715,4.25207752809633,0.00151938249451897,0.0373514863235913,0.0330532332140968,"5372/2762/229/80201/3101/57016",6
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","9/334","75/8848",0.12,3.17892215568862,3.75320862802861,0.00195102609970453,0.0442732845702183,0.0391784998159291,"84699/2936/6528/7276/480/405753/50506/481/5578",9
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","6/334","37/8848",0.162162162162162,4.29584075093057,3.9788622573681,0.00238818269253886,0.0497727858472431,0.0440451414455532,"335/3553/5578/3040/3039/3043",6
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","7/334","50/8848",0.14,3.70874251497006,3.80421603414905,0.00253081961935134,0.0497727858472431,0.0440451414455532,"54498/1158/1610/2805/84735/1152/137362",7
